"Fachbegriff";"Einfache Erklärung";"Themenbereich"
"Akt";"Ein großer Abschnitt, in den ein Theaterstück oder ein Buch unterteilt ist.";"Schreiben"
"Analytisches Drama";"Ein Theaterstück oder Buch, bei dem das Schlimmste schon passiert ist und man nach und nach herausfindet, warum.";"Schreiben"
"Anthologie";"Ein Buch, in dem Texte von vielen verschiedenen Autoren gesammelt sind.";"Schreiben"
"Autorensoftware";"Spezielle Computerprogramme (z. B. Papyrus Autor oder Scrivener), die Autoren beim Planen und Schreiben helfen.";"Arbeitsmittel"
"Autorenvita";"Ein kurzer Text, der das Leben und die wichtigsten Infos über den Autor beschreibt.";"Autorenschaft"
"Cliffhanger";"Ein fieser, extrem spannender Moment am Ende eines Kapitels, der den Leser zum Weiterlesen zwingt.";"Schreiben"
"Dithyrambus";"Ein antikes, sehr begeistertes Loblied aus dem alten Griechenland.";"Schreiben"
"Exordium";"Der klassische Begriff aus der Rhetorik für die Einleitung eines Textes oder einer Rede.";"Schreiben"
"Exposition";"Die Einleitung einer Geschichte, in der die Personen, die Zeit und der Ort vorgestellt werden.";"Schreiben"
"Freie Rhythmen";"Gedichte ohne festes Reimschema oder vorgegebenen Takt.";"Schreiben"
"Haiku";"Ein sehr kurzes Gedicht aus Japan mit strengen Regeln.";"Schreiben"
"Hybridautor";"Ein Autor, der seine Bücher sowohl klassisch in einem Verlag als auch komplett selbst veröffentlicht.";"Autorenschaft"
"Indie-Autor";"Ein unabhängiger Autor, der seine Bücher ohne klassischen Verlag veröffentlicht.";"Autorenschaft"
"Manuskript";"Der erste geschriebene Rohtext eines Buches, bevor er gedruckt wird.";"Arbeitsmittel"
"NaNoWriMo";"Eine weltweite Aktion im November, bei der Autoren versuchen, in 30 Tagen 50.000 Wörter zu schreiben.";"Community"
"Normseite";"Eine genormte Seite mit etwa 1.500 Zeichen. Damit wird berechnet, wie lang ein Buch genau ist.";"Arbeitsmittel"
"Pantser";"Ein Autor, der ohne vorherigen Plan einfach aus dem Bauch heraus drauflos schreibt.";"Schreiben"
"Plotter";"Ein Autor, der die gesamte Geschichte von Anfang bis Ende genau plant, bevor er anfängt zu schreiben.";"Schreiben"
"POV (Point of View)";"Die Sichtweise oder Perspektive, aus der eine Geschichte erzählt wird (z. B. Ich-Perspektive).";"Schreiben"
"Schreibhandwerk";"Die Regeln und Techniken, wie man gut, spannend und verständlich schreibt.";"Schreiben"
"Testlesende";"Leute, die das Buch vor der Veröffentlichung lesen, um Fehler zu finden oder zu sagen, wie die Geschichte wirkt.";"Schreiben"
"Unzuverlässiges Erzählen";"Wenn der Erzähler im Buch absichtlich lügt, sich irrt oder Dinge verheimlicht, sodass der Leser ihm nicht trauen kann.";"Schreiben"
"Zeitpunkt des Erzählens";"Ob eine Geschichte genau jetzt passiert, in der Vergangenheit liegt oder aus der Zukunft erzählt wird.";"Schreiben"
"Zeugma";"Ein Wortspiel, bei dem ein Wort für zwei verschiedene Dinge steht (z.B. 'Er schlug die Tür zu und den Weg ein').";"Schreiben"
"Auszeichnen";"Textstellen im Programm besonders hervorheben, zum Beispiel durch kursiv oder fett.";"Typografie"
"Autorenkorrektur";"Wenn der Autor den Text nach dem Lektorat noch einmal selbst überarbeitet.";"Korrektur"
"Blindtext";"Ein bedeutungsloser Text (oft 'Lorem ipsum'), der nur als Platzhalter dient, um das Buchlayout zu testen.";"Buchsatz"
"Blocksatz";"Das Anpassen der Wörter in einer Zeile, sodass der Text links und rechts einen perfekt geraden Rand hat.";"Typografie"
"Differenzierendes Lesen";"Sehr konzentriertes Lesen (z.B. bei Fachbüchern), bei dem man sich viele Details merken muss.";"Buchsatz"
"Divis";"Ein kurzer Trennstrich (für Silben am Zeilenende) oder Bindestrich.";"Typografie"
"Druckfahne";"Ein Probedruck des Buches, in dem nach den letzten Fehlern gesucht wird.";"Korrektur"
"Durchschuss";"Der freie Abstand zwischen den einzelnen Textzeilen.";"Typografie"
"Festabstand";"Ein fester Abstand zwischen Wörtern, der sich beim automatischen Zeilenumbruch nicht verschiebt.";"Typografie"
"Flattersatz";"Ein Text, der nur auf einer Seite gerade ist und auf der anderen Seite unregelmäßig ausläuft ('flattert').";"Typografie"
"Fliegenkopf";"Ein Fehler beim Drucken, bei dem ein Buchstabe aus Versehen auf dem Kopf steht.";"Fehler"
"Font";"Das englische Wort für die gewählte Schriftart.";"Typografie"
"Frontispiz";"Die Rückseite der ersten Seite im Buch (Schmutztitelseite). Hier ist oft ein Bild gedruckt oder die Seite bleibt leer.";"Buchsatz"
"Geviert / Halbgeviert";"Typografische Maßeinheiten für Abstände oder Striche (z.B. für den Gedankenstrich).";"Typografie"
"Gut zum Druck (GzD)";"Die offizielle Freigabe, dass das Buch fertig ist und genau so gedruckt werden darf.";"Buchsatz"
"Hauskorrektur";"Die erste Fehlersuche, die ein Verlag intern macht, bevor der Autor den Text sieht.";"Korrektur"
"Hurenkind";"Ein Fehler, bei dem die allerletzte Zeile eines Absatzes ganz allein oben auf einer neuen Seite steht.";"Typografie"
"Initiale";"Ein besonders großer, manchmal verzierter Anfangsbuchstabe am Beginn eines Kapitels.";"Typografie"
"Initialwort";"Ein Wort, das nur aus den Anfangsbuchstaben anderer Wörter besteht (z.B. LKW oder EU).";"Typografie"
"Kapitälchen";"Buchstaben, die aussehen wie Großbuchstaben, aber so klein sind wie normale Kleinbuchstaben.";"Typografie"
"Kolumnentitel";"Die Überschrift ganz oben auf einer Buchseite (Kopfzeile), oft mit Seitenzahl und Kapitelname.";"Buchsatz"
"Kompress";"Wenn Zeilen so eng aneinandergedruckt werden, dass kein Platz (Durchschuss) mehr dazwischen ist.";"Typografie"
"Konsultierendes Lesen";"Das schnelle Suchen nach bestimmten Infos, wie man es bei einem Lexikon oder Nachschlagewerk macht.";"Buchsatz"
"Korrekturzeichen";"Bestimmte genormte Symbole, mit denen Korrektoren Fehler am Seitenrand markieren.";"Korrektur"
"Korrektorat";"Die reine Fehlersuche: Es werden nur Rechtschreibung, Kommas und Grammatik korrigiert.";"Korrektur"
"Laufweite";"Der Abstand zwischen den einzelnen Buchstaben in einem Wort.";"Typografie"
"Lektorat";"Die Verbesserung des Inhalts: Es wird geprüft, ob die Geschichte spannend ist und alles Sinn macht.";"Korrektur"
"Ligatur";"Wenn zwei oder mehr Buchstaben optisch zu einem einzigen Zeichen verschmelzen (z.B. 'fl').";"Typografie"
"Marginalie";"Eine kleine Randbemerkung oder ein Stichwort, das neben dem normalen Text in einer extra Spalte steht.";"Buchsatz"
"Nullnummer";"Eine Probe-Ausgabe eines Magazins oder Buches, die gedruckt wird, bevor der eigentliche Verkauf startet.";"Druck"
"Paginierung";"Das Einfügen und Durchnummerieren der Seitenzahlen in einem Buch.";"Buchsatz"
"Punktgröße (pt)";"Die genaue typografische Maßeinheit, die angibt, wie groß die Schrift gedruckt wird.";"Typografie"
"Recte";"Die ganz normale, aufrechte (nicht kursive) Schriftart.";"Typografie"
"Revision";"Der allerletzte Check durch den Korrektor, ob alle Fehler auch wirklich im Dokument verbessert wurden.";"Korrektur"
"Satzspiegel";"Der genau festgelegte Bereich auf einer Buchseite, auf dem Text gedruckt werden darf.";"Buchsatz"
"Schmutztitelseite";"Die allererste Seite im Buch, auf der der Titel meist nur ganz klein steht, noch vor der Haupt-Titelseite.";"Buchsatz"
"Schriftschnitt";"Das Aussehen der Schrift, zum Beispiel 'fett', 'kursiv' oder 'dünn'.";"Typografie"
"Schusterjunge";"Ein Fehler, bei dem die erste Zeile eines neuen Absatzes ganz unten allein auf einer Seite steht.";"Typografie"
"Spatium";"Ein winziges Leerzeichen, das zum Beispiel zwischen 'z.' und 'B.' gesetzt wird.";"Typografie"
"Sperren";"Wenn man die Buchstaben eines Wortes künstlich weiter auseinanderzieht, um es hervorzuheben.";"Typografie"
"Tautologie";"Wenn man zwei Wörter mit exakt gleicher Bedeutung doppelt nutzt (z.B. 'weißer Schimmel').";"Schreiben"
"Titelei";"Die ersten paar Seiten eines Buches, bevor die eigentliche Geschichte losgeht (mit Impressum, Titelseite, etc.).";"Buchsatz"
"Trennfuge / weiche Trennung";"Ein Trennstrich, der im Programm nur dann auftaucht, wenn das Wort am Zeilenende getrennt werden muss.";"Buchsatz"
"Vakatseite";"Eine Seite in einem Buch, die absichtlich komplett leer bleibt.";"Buchsatz"
"Versalien";"Ein typografischer Fachbegriff für ganz normale Großbuchstaben.";"Typografie"
"Beschnitt";"Ein kleiner Rand um die Buchseite, der beim Drucken weggeschnitten wird, damit keine ungewollten weißen Ränder bleiben.";"Druck"
"Blindprägung";"Ein Logo oder Schriftzug, der spürbar in den Umschlag gedrückt wird, ohne dass dafür Farbe verwendet wird.";"Veredelung"
"Broschur";"Ein weich gebundenes Buch, oft einfach 'Taschenbuch' oder 'Softcover' genannt.";"Druck"
"Buchblock";"Alle bedruckten und aneinander befestigten Innenseiten eines Buches, aber noch ohne den Umschlag drumherum.";"Druck"
"Buchrücken";"Die schmale Seite des Buches, die man sieht, wenn das Buch im Regal steht.";"Druck"
"Cellophanierung";"Das Überziehen des Buchcovers mit einer hauchdünnen Folie (matt oder glänzend), um es vor Kratzern zu schützen.";"Veredelung"
"CMYK";"Die vier Standardfarben (Cyan, Magenta, Gelb, Schwarz), aus denen beim Drucken alle anderen Farben gemischt werden.";"Farbe"
"Computer to Plate (CTP)";"Ein modernes Verfahren, bei dem das Buch direkt vom Computer per Laser auf die Druckplatten übertragen wird.";"Druck"
"Digitaldruck";"Ein schnelles Druckverfahren, das wie ein großer Laserdrucker funktioniert und sich besonders für kleine Mengen eignet.";"Druck"
"Fadenheftung";"Die hochwertigste Art, ein Buch zu binden: Die gefalzten Seiten werden im Buchrücken mit Fäden fest vernäht.";"Druck"
"Falzen";"Das maschinelle und sehr genaue Knicken der flachen, bedruckten Papierbögen.";"Druck"
"Farbschnitt";"Wenn die äußeren, offenen Ränder der Buchseiten bunt eingefärbt oder mit Mustern bedruckt sind.";"Veredelung"
"Lagen";"Ein großer bedruckter Papierbogen, der mehrfach gefalzt (geknickt) wird und dann zum Beispiel 16 fertige Buchseiten ergibt.";"Druck"
"Lumbecken";"Die professionelle Klebebindung, bei der die Seiten am Rücken aufgefächert und festgeklebt werden (oft bei Taschenbüchern).";"Druck"
"Offsetdruck";"Ein großes Druckverfahren, das sich wegen der Vorbereitungskosten nur lohnt, wenn sehr viele Bücher gedruckt werden.";"Druck"
"Print-on-Demand (PoD)";"Ein Verfahren, bei dem das Buch erst dann gedruckt wird, wenn jemand es gekauft hat. Das spart Lagerkosten.";"Druck"
"RGB";"Die drei Farben (Rot, Gelb, Blau), aus denen Bildschirme Bilder zusammensetzen. E-Book-Cover müssen in RGB sein.";"Farbe"
"Verblocken";"Ein Fehler beim Druck, bei dem die frischen Seiten wegen zu feuchter Druckfarbe aneinander festkleben.";"Fehler"
"Viskosität";"Ein physikalischer Wert, der angibt, wie zähflüssig oder pastös die Druckfarbe in der Maschine ist.";"Druck"
"Wegschlagen";"Der erste Trocknungsprozess nach dem Druck, wenn die flüssige Druckfarbe tief in das Papier einzieht.";"Druck"
"Wolkigkeit";"Ein Druckfehler, bei dem eine gedruckte, eigentlich gleichmäßige Farbfläche fleckig (wie Wolken) aussieht.";"Fehler"
"Zusammentragen";"Das Sortieren der vielen einzelnen, geknickten Buchseiten in die exakt richtige Reihenfolge vor dem Binden.";"Druck"
"Amazon KDP";"Eine Plattform von Amazon, über die man sein Buch ganz einfach selbst veröffentlichen kann.";"Buchmarkt"
"Auflagendruck";"Der Autor bezahlt eine Druckerei, um gleich eine große Menge Bücher auf einmal auf eigenes Risiko zu drucken.";"Vertrieb"
"Barsortiment";"Ein riesiger Großhändler (wie Libri), der Bücher lagert und sie über Nacht an die Buchhandlungen liefert.";"Vertrieb"
"Belegexemplar";"Ein kostenloses Buch, das man als Autor bekommt, um den fertigen Druck zu überprüfen.";"Buchmarkt"
"Buchmesse";"Eine große Veranstaltung (wie in Frankfurt oder Leipzig), auf der Verlage und Autoren ihre neuen Bücher vorstellen.";"Buchmarkt"
"Buchpreisbindung";"Ein strenges Gesetz in Deutschland: Ein Buch muss in jedem Laden und online immer genau denselben Preis kosten.";"Recht"
"Buchpreiskalkulation";"Die genaue Berechnung, wie viel das Buch kosten muss, damit man nach Druck, Rabatten und Steuern noch etwas verdient.";"Vertrieb"
"Deutsche Nationalbibliothek";"Eine zentrale Bibliothek, der jeder Autor und Verlag gesetzlich zwei kostenlose Exemplare seines Buches schicken muss.";"Recht"
"Dienstleister";"Externe Profis, die ein Autor bezahlt, damit sie ihm beim Buch helfen (z. B. Cover-Designer oder Lektoren).";"Buchmarkt"
"Druckkostenzuschussverlag";"Verlage, die vom Autor Geld verlangen, um das Buch zu drucken. Gelten als unseriös.";"Buchmarkt"
"Impressum";"Eine gesetzliche Pflicht-Seite im Buch. Hier müssen Adresse, Copyright und andere wichtige Infos stehen.";"Recht"
"ISBN";"Eine 13-stellige Nummer, mit der man jedes Buch weltweit eindeutig finden kann.";"Buchmarkt"
"Modernes Antiquariat";"Bücher, für die die strenge Preisbindung nach 18 Monaten aufgehoben wurde und die nun billiger verkauft werden dürfen.";"Recht"
"Selfpublisher";"Ein Autor, der alles selbst in die Hand nimmt und sein Buch ohne klassischen Verlag herausbringt.";"Buchmarkt"
"Selfpublisherverband";"Ein starker Verein im deutschsprachigen Raum, der unabhängigen Autoren hilft, sie berät und weiterbildet.";"Community"
"Titelschutz";"Wenn man sich einen Buchtitel rechtlich reserviert, bevor das Buch überhaupt fertig geschrieben ist.";"Recht"
"Urheberrecht";"Das Gesetz, das den Autor und sein Werk davor schützt, dass andere es einfach klauen oder unerlaubt kopieren.";"Recht"
"VG Wort";"Eine Organisation, die dafür sorgt, dass Autoren Geld bekommen, wenn ihre Texte kopiert oder in Bibliotheken ausgeliehen werden.";"Recht"
"VLB";"Verzeichnis lieferbarer Bücher. Ein riesiger Katalog, über den Buchhandlungen Bücher finden und bestellen.";"Vertrieb"
"Blurb / Klappentext";"Der werbende Text auf der Buchrückseite. Er soll neugierig machen und zum Kaufen verleiten.";"Marketing"
"Book Hangover";"Die traurige Phase, wenn man ein großartiges Buch beendet hat und sich auf kein neues Buch konzentrieren kann.";"Social Media"
"Book-Haul";"Wenn Leser in einem Video oder Foto stolz zeigen, welche neuen Bücher sie gerade alle gekauft haben.";"Social Media"
"BookTok / Bookstagram";"Die große Buch-Community auf den Plattformen TikTok (BookTok) und Instagram (Bookstagram).";"Social Media"
"Buchblogger";"Leute im Internet, die viele Bücher lesen, darüber schreiben und sie öffentlich bewerten.";"Marketing"
"Buddy Read";"Wenn zwei oder mehr Personen das gleiche Buch gleichzeitig lesen und sich darüber austauschen.";"Social Media"
"Call to Action (CTA)";"Eine direkte Aufforderung an den Leser am Ende eines Textes, etwas zu tun, zum Beispiel 'Jetzt kaufen' oder 'Hier klicken'.";"Marketing"
"Comp Titles";"Vergleichstitel. Wenn man sein Buch im Marketing mit bekannten Bestsellern vergleicht (z.B. 'Für Fans von Harry Potter').";"Marketing"
"Copywriting";"Die Kunst, Werbetexte so gut und emotional zu schreiben, dass der Leser das Buch am Ende unbedingt kaufen will.";"Marketing"
"CR (Currently Reading)";"Englisch für 'Lese ich gerade'. Zeigt an, mit welchem Buch man im Moment beschäftigt ist.";"Social Media"
"Elevator Pitch";"Eine extrem kurze, geschliffene Zusammenfassung der Buchidee, die man jemandem während einer kurzen Aufzugfahrt erzählen könnte.";"Marketing"
"Funnel";"Ein Schritt-für-Schritt-System im Marketing, das aus völlig unbekannten Leuten im Internet nach und nach treue Leser macht.";"Marketing"
"Genre-Signal";"Kleine Hinweise (z.B. Schriftart auf dem Cover oder Wortwahl), die dem Leser in Sekunden zeigen, um was für ein Buch es sich handelt.";"Marketing"
"High Concept";"Eine Buchidee, die so klar, massentauglich und originell ist, dass man sie in einem Satz sofort versteht und kaufen will.";"Marketing"
"Hook / Hookline";"Der allererste, extrem spannende Satz des Klappentextes, der durch eine Provokation den Leser sofort fesseln soll.";"Marketing"
"Info-Dump / Backstory-Dumping";"Ein tödlicher Fehler im Klappentext: Wenn der Autor den Leser mit viel zu vielen langweiligen Fakten und Vorgeschichten überhäuft.";"Marketing"
"Konflikt";"Das große, fast unlösbare Problem in der Geschichte, das die Hauptfigur zwingend überwinden muss, um Spannung zu erzeugen.";"Marketing"
"Landingpage";"Eine ganz einfache Webseite, die nur ein einziges Ziel hat, zum Beispiel dass sich jemand für den Newsletter anmeldet.";"Marketing"
"Lead-Magnet (Freebie)";"Ein kostenloses Geschenk (z. B. ein E-Book), das Leser bekommen, wenn sie sich für den Newsletter anmelden.";"Marketing"
"Leseflaute / Reading Slump";"Eine Phase, in der man überhaupt keine Lust hat, ein Buch zu lesen oder sich nicht darauf konzentrieren kann.";"Social Media"
"Logline";"Die gesamte Grundidee des Buches zusammengefasst in einem einzigen, extrem spannenden Satz.";"Marketing"
"Metadaten";"Wichtige Infos (wie ISBN, Stichwörter, exakte Kategorien), die man im Hintergrund eingibt, damit das Buch im Internet gefunden wird.";"Marketing"
"Pitch";"Eine extrem kurze und spannende Zusammenfassung der Buchidee, um andere in wenigen Sekunden davon zu überzeugen.";"Marketing"
"Reader Promise";"Das klare Versprechen an den Leser, was er vom Buch erwarten kann (z. B. ob es blutig wird oder romantisch).";"Marketing"
"Shelfie";"Ein Foto von einem schönen Bücherregal, das man im Internet postet.";"Social Media"
"Social Proof";"Beweise dafür, dass andere das Buch gut finden, wie zum Beispiel gewonnene Preise oder gute Leser-Bewertungen auf dem Cover.";"Marketing"
"Spice";"Ein Begriff, der anzeigt, wie viele leidenschaftliche oder erotische Szenen in einem Buch vorkommen.";"Social Media"
"Stakes";"Der 'Einsatz'. Das, was für die Hauptfigur konkret auf dem Spiel steht, sollte sie scheitern (z.B. ihr Leben, ihre große Liebe).";"Marketing"
"SuB / RuB";"Stapel ungelesener Bücher oder Regal ungelesener Bücher. Bücher, die man gekauft, aber noch nicht gelesen hat.";"Social Media"
"Tagline";"Ein kurzer, knackiger Werbespruch, der oft auf dem Buchcover direkt über dem Titel steht.";"Marketing"
"TBR (To Be Read)";"Eine Liste von Büchern, die man sich fest vorgenommen hat, als nächstes zu lesen.";"Social Media"
"Triggerwarnung";"Eine Warnung im Buch vor sensiblen Themen (wie z. B. Gewalt), die einige Leser belasten könnten.";"Marketing"
"Tropes";"Beliebte, bekannte Handlungsmuster in Büchern (z. B. 'Aus Feinden werden Liebende').";"Marketing"
"Waschzettel";"Ein kurzer Info-Zettel für Journalisten und Buchhändler mit den wichtigsten Daten und einer Inhaltsangabe zum Buch.";"Marketing"
"Zielgruppe";"Die genaue Gruppe von Lesern, für die das Buch geschrieben ist. Das ganze Marketing wird perfekt auf sie zugeschnitten.";"Marketing"
"Artefakte";"Störende und unnatürliche Geräusche (wie ein blechernes Klirren) in einer Aufnahme, oft durch schlechte Technik verursacht.";"Technik"
"Attack Time";"Wie schnell ein Audiogerät (Kompressor) reagiert, wenn ein Geräusch in der Aufnahme zu laut wird.";"Technik"
"Audiodeskription";"Eine Tonspur für blinde Menschen, bei der ein Sprecher erklärt, was gerade ohne Worte im Bild passiert.";"Audio"
"Audioguide";"Ein Audio-Führer, den man sich zum Beispiel in einem Museum anhören kann, um Infos zu den Ausstellungsstücken zu bekommen.";"Audio"
"Ausspracheglossar";"Eine Liste vom Autor, die dem Sprecher genau zeigt, wie ausgedachte Namen oder fremde Städte im Buch richtig ausgesprochen werden.";"Produktion"
"Braunes Rauschen (1/f²-Rauschen)";"Ein technisches Störgeräusch in einer Aufnahme, das extrem tief und dumpf wie ein Rumpeln klingt.";"Technik"
"Brickwall Limiting";"Eine technische Grenze wie eine Ziegelmauer, die verhindert, dass eine Tonaufnahme auch nur ein kleines bisschen zu laut wird.";"Technik"
"CBR (Constant Bitrate)";"Ein Audioformat, bei dem die Datenmenge und Qualität während der gesamten Datei genau gleich hoch bleiben muss.";"Format"
"Compressor (Kompressor)";"Ein Audio-Werkzeug, das zu laute Stellen leiser und zu leise Stellen sanft lauter macht, damit alles harmonisch klingt.";"Technik"
"DAW";"Ein Computerprogramm (Digital Audio Workstation), das Tontechniker zum Aufnehmen und Schneiden von Ton nutzen.";"Software"
"Digitale Vollaussteuerung";"Die absolute Schmerzgrenze der Lautstärke bei digitalen Aufnahmen (0 dBFS). Wird sie überschritten, klingt es verzerrt.";"Technik"
"Headroom";"Ein kleiner Sicherheitsabstand bei der Lautstärke, damit die Audioaufnahme bei lauten Wörtern nicht verzerrt wird.";"Technik"
"Hörbuch";"Ein Buch, das von meist nur einem Sprecher ganz normal vorgelesen wird, ohne extra Geräusche oder Musik.";"Audio"
"Hörspiel";"Ein vertontes Buch, das wie ein Film ohne Bild funktioniert. Mit vielen Sprechern, Musik und Geräuschen.";"Audio"
"IP-Recording";"Eine moderne Technik, mit der Sprecher über das Internet in bester Studio-Qualität aus der Ferne aufgenommen werden können.";"Produktion"
"Künstlersozialkasse (KSK)";"Eine spezielle Versicherung für Künstler, Autoren und Sprecher in Deutschland, bei der Auftraggeber Gebühren abführen müssen.";"Recht"
"Lippensynchron (Lipsync)";"Wenn der Sprecher genau so redet, dass es perfekt zu den Lippenbewegungen der Schauspieler im Video passt.";"Produktion"
"Noise Floor (Grundrauschen)";"Das ganz leise Hintergrundrauschen (wie das Rauschen des Mikrofons), wenn gerade niemand spricht.";"Technik"
"Overvoice / Voiceover";"Eine Tonaufnahme, die über ein Video gelegt wird. Der Originalton im Hintergrund wird dabei oft leiser gemacht.";"Produktion"
"Raumton (Room Tone)";"Das ganz leise, natürliche Geräusch eines Aufnahmeraums, auch wenn niemand spricht. Wird genutzt, um Pausen aufzufüllen.";"Technik"
"RMS";"Eine Messung, die anzeigt, wie laut eine Audiodatei für das menschliche Ohr im Durchschnitt klingt.";"Technik"
"Rosa Rauschen (1/f-Rauschen)";"Ein technisches Störgeräusch, das für das menschliche Ohr in allen Frequenzen und Tonlagen etwa gleich laut klingt.";"Technik"
"Shownotes";"Ein Begleittext, der unter einem Podcast steht und in dem zum Beispiel Links zu besprochenen Büchern zu finden sind.";"Marketing"
"Synchronregisseur";"Der Chef im Tonstudio, der darauf achtet, dass der Sprecher die richtige Stimmung, Lippensynchronität und den richtigen Rhythmus trifft.";"Produktion"
"Take";"Ein ganz kurzer Textabschnitt, der vom Sprecher am Stück aufgenommen wird, damit er sich nicht so leicht verspricht.";"Produktion"
"WAV";"Ein sehr gutes Audioformat ohne Qualitätsverlust. Man bearbeitet immer in WAV, bevor man die Datei ins MP3-Format umwandelt.";"Format"
"Abb.";"Abbildung(en). Verweist auf Bilder oder Grafiken im Text.";"Bibliografie"
"dt.";"deutsch. Zeigt bei Quellen an, dass es sich um die deutsche Übersetzung handelt.";"Bibliografie"
"ebd.";"ebenda. Bedeutet, dass das Zitat aus genau demselben Buch stammt, das im Satz direkt davor schon genannt wurde.";"Bibliografie"
"Ed. / ed.";"Edition oder ediert. Weist auf eine bestimmte Auflage oder den Herausgeber eines Buches hin.";"Bibliografie"
"Ex / E";"Exemplar(e). Beschreibt die genaue Stückzahl von gedruckten oder vorhandenen Büchern.";"Bibliografie"
"f.";"folgende. Verweist auf die im Text genannte Seite plus genau eine weitere Folgeseite (z.B. S. 12 f.).";"Bibliografie"
"ff.";"folgende. Verweist auf die im Text genannte Seite plus mehrere fortlaufende Folgeseiten (z.B. S. 12 ff.).";"Bibliografie"
"Faks.";"Faksimile. Ein absolut originalgetreuer Nachdruck von einem alten, sehr wertvollen Buch oder Dokument.";"Bibliografie"